asin,Manufacturer,description,price,reviewsCount,stars,title,url
B08FG7L1ZP,Northzone,"NORTHZONE BACKPACK If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily.",569,186,4.1,Northzone Unisex 15.6 inch 25 L Casual Waterproof Laptop/Travel/Office/School/College/Business Bag/Backpack (Navy blue),https://www.amazon.in/dp/B08FG7L1ZP
B08Z1HHHTD,Skybags,"Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack",669,1661,4.1,Skybags Brat Black 46 Cms Casual Backpack,https://www.amazon.in/dp/B08Z1HHHTD
B07SRGQ2R4,Genie,"Bring your A game with the Genie Miami Rose backpack. A perfect fusion of prints, structure and design, this backpack is feather light and fully lined for extra strength. It has a spacious compartment with a zipper opening and a side pocket for easy access.",649,959,4.4,"Genie Miami Casual Backpacks for Women, 14 inch, Stylish and Trendy College backpacks for girls, Water Resistant and Lightweight Mini Bags . Latest collection (Rose)",https://www.amazon.in/dp/B07SRGQ2R4
B077BGKMJ9,HP,"Whether you’re heading to the office or working from the road, the HP 14.1 Business Slim Top Load adds a modern touch for the minimalist professional who carries a notebook. It has lockable zippers, a secure RFID pocket and room for your device up to 14.1"" diagonal and daily essentials.",1499,44,4.3,HP 2SC65AA 14-inch Slim Laptop Briefcase (Black),https://www.amazon.in/dp/B077BGKMJ9
B07HFBRRMP,Unique Ideas,"Unique Ideas presents this stylish and functional mother bag which is specially designed to make your baby care experience pleasant. Keep baby's diapers, extra outfits, blankets, small toys and baby supplies organized with the help of this versatile diaper bag. Made from highly durable material this mother bag has multiple zipped compartments and pockets. It has a front zipped compartment with multiple sub compartments which helps to organize small sized baby care supplies like diaper cream, wash cloth, wipes etc. The adjustable shoulder strap and two small handles of the diaper bag makes transporting a breeze. Attractive looks and designs make this bag more adorable.",446,17,3.8,Unique Ideas New Born Baby Multipurpose Polyester Mother Bag with Holder (Light Pink_Medium),https://www.amazon.in/dp/B07HFBRRMP
B07QX58HGR,Blue Tree,,278,154,4,Blue Tree Velvet Kids School/Nursery/Picnic/Carry/Travelling Bag - 2 to 5 Age (_Best_Red_Strawberry),https://www.amazon.in/dp/B07QX58HGR
B07PFF4RYC,Storite,,399,6867,4.1,Storite Stylish Padded Small Nylon Sling Cross Body Travel Office Business Messenger Bag for Men Women (25x16x7.5cm) (Dark Grey),https://www.amazon.in/dp/B07PFF4RYC
B08S3STK3R,SEMITO,,799,9,4,SEMITO Waterproof Laptop Handbag Notebook Bags Men Women Handbags Canvas Computer Bags Laptop Bags 13 14 15 inch Travel Shoulder Bags,https://www.amazon.in/dp/B08S3STK3R
B07QHMKHWH,Genie,"Give your everyday routine a fresh update with Genie Camellia backpack. With all-over floral print, this backpack will be the style statement as you head off to class and your classmates stare in awe. It is spacious enough to carry all your supplies whilst looking cute.",849,1511,4.3,"Genie Camellia 27 litres Pink School Backpack (17 inch, Water Resistant)",https://www.amazon.in/dp/B07QHMKHWH
B019HA8AYG,Gear,"Intuitively crafted at the Gear design studio to balance comfort, style, endurance and functionality.",189,4635,3.7,Gear Carryon Backpack Black- Blue (BKPCARYON0110),https://www.amazon.in/dp/B019HA8AYG
B07PKHC72N,Lavie,"Give a classy touch to your ensemble with this trendy tote by Lavie. Displaying a herringbone print, thin handles and an adjustable and detachable sling belt, this bag opens to a large compartment and multiple utility pockets with smooth sliding zippers.",649,1127,4.2,Lavie Women's Malnov Tote Bag | Ladies Purse Handbag,https://www.amazon.in/dp/B07PKHC72N
B07F3X45WZ,ADISA,,509,4824,4,ADISA Light Weight Laptop Backpack 32 Ltrs,https://www.amazon.in/dp/B07F3X45WZ
B07NSBSV2Y,Safari,"Be it your short trips or your daily travel across the city, daypack has got you covered. With a 15 litre capacity daypack lets you carry your wallet, umbrella, kerchief, keys, earphones, Notepad, pens and other Essentials. The drawstring compartment lets you dump things that you pick up on your way. Pattern: Solid ; Back: Padding ; Number of compartments: 2.",275,4268,4.1,SAFARI 15 Ltrs Cherry Red Casual/School/College Backpack (DAYPACKNEO15CBCRE),https://www.amazon.in/dp/B07NSBSV2Y
B09VTDMRY7,FUR JADEN,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.",749,650,4.1,"Fur Jaden Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/dp/B09VTDMRY7
B08679WRLW,Northzone,"A sporty versatile Backpack from Northzone. It has a top opening compartment for quick & easy access to essentials while the mesh padding on the back panel will feel comfortable, even on a hot day. This backpack can be carried in 2 ways as it has an additional front handle to hold it in case you’re unable to carry it on your back.",664,996,4,Northzone Laptop Bag/College Bag/School Bag/Office Bag/Waterproof Bag/Travel Bag/Casual Backpack/Trending Backpack (Black1) 40L Backpack,https://www.amazon.in/dp/B08679WRLW
B074G3TJYF,POLESTAR,,479,15366,3.9,"POLESTAR Hero 32 L Casual/ School/ College/ Day light weight Backpack, made with polyester, 1 year warranty - Slogan print",https://www.amazon.in/dp/B074G3TJYF
B09T2MRRG3,Half Moon,"Half Moon backpack is designed to be used everywhere you can use it as:- college bag(as it has numerous pockets inside), school bag(there is very large space inside the bag that can be used to carry numerous books), travel backpack(the volume of this backpack is 35 litres and that is enough for travelling), laptop bag(as it contains a laptop sleeve). It is navy in colour so that it will not become dirty easily it has padded straps to make it easy to carry. It is fully waterproof to protect your laptop, books etc from water and rain. The material used in this bag is dust-free so, that it can produce your backpack from dust. It has a rain cover which is very useful in the rainy season to protect your backpack from rain. It can be used everywhere as well as by everyone be it menं , womenं , boys and girls.",649,849,4,Half Moon 34 L Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College with Padded Laptop Compartment (Grey),https://www.amazon.in/dp/B09T2MRRG3
B083N3DCTM,HEROZ,,1499,3210,4.1,HEROZ Hacker 50 litres Nylon Travel Laptop Backpack Water Resistant Slim Durable Computer Book Bag Tracking Fits Up to 17.3-inch Laptop (058- All) (Grey & Navy Blue),https://www.amazon.in/dp/B083N3DCTM
B0B1XPC885,ADISA,"Box sling bag made with high quality PU with fancy show fitting on the front. The sling belt is a full length PU belt which is height adjustable. Inside it has 1 main compartment for convenience of storing your essentials with ease and without any hassle. This is a new and fresh design which is trending in the current fashion season. A classy and stylish sling perfect for parties and clubbing, or for casual daily use.",370,21,4.3,ADISA Women's Girls Party Sling Bag Crossbody,https://www.amazon.in/dp/B0B1XPC885
B09QM9N1B3,Half Moon,"FEATURES: DURABLE MATERIAL: Made with strong polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, men and women; COMFY & STURDY: Its padded, adjustable shoulder straps do not put pressure on the shoulders. Foamed padded top handle is easy on your palm and fingers; DURABLE AND LIGHT WEIGHT MATERIAL: Made with strong yet light weight polyester fabric with heavy zippers; INTERNAL ORGANISER: This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items; LOTS OF STORAGE SPACE & POCKETS: One separate Padded laptop compartment. Multiple compartments can store lots of stuff, that too organised.",679,227,3.7,Half Moon 30L Waterproof 15.6 inch Laptop Office School College Bag Backpack for Men Women Boys & Girls,https://www.amazon.in/dp/B09QM9N1B3
B091CL7VRZ,Storite,,799,588,4,Storite Stylish PU Leather Sling Cross Body Travel Office Business Messenger One Side Shoulder Bag for Men Women(30cmx5.5cmx24cm) (Coffee Brown),https://www.amazon.in/dp/B091CL7VRZ
B09243WY6M,POLESTAR,"This “MAKE IN INDIA” Product features 35 litres capacity ,3 large zippered compartments, 2 front vertical highlighted zip pocket at front, 2 water bottle /umbrella pockets, Top padded Handle for comfort. The RAIN COVER is placed in SIDE MESH POCKET with Velcro closure .POLESTAR “ENZO” backpack with RAIN COVER is Spacious and durable for school /college and travel. Easily accommodate 15.6 inch laptop. ENZO is made of high grade water resistant polyester material that gives it strength and durable for long-term use. Is carries 12 months warranty.",639,2915,4.2,"POLESTAR Enzo 35 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment and rain cover, made with polyester, 1 year warranty",https://www.amazon.in/dp/B09243WY6M
B081X69ZL7,AFN FASHION,"AFN FASHION brings a fashionable backpack. This full-featured pack makes space for everything essential with multiple zip pockets on the exterior, plus a ready-to-go interior with padded and other storage solutions.",799,1273,4,Afn Fashion 45 Ltrs Casual backpack/ office/ School Bag/Laptop Backpack for (15.6 inch) Blue,https://www.amazon.in/dp/B081X69ZL7
B07MGDFT9C,HEROZ,,1399,6654,4.3,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & Black),https://www.amazon.in/dp/B07MGDFT9C
B09WVQRTDM,MOKOBARA,,5490,131,4.4,"Mokobara Backpack Pro 15.6"" Inch Laptop Backpack For Men And Women (21 litre).",https://www.amazon.in/dp/B09WVQRTDM
B08YF9VHTY,Genie,,649,753,4.5,Genie Flamenco2 Casual Backpacks for Women,https://www.amazon.in/dp/B08YF9VHTY
B00VWM11HQ,Gear,"Intuitively crafted at the Gear Design Studio to balance comfort, style, endurance and functionality. Gear is reckoned for delivering high quality accessories since its inception and has come up with innovation through the years. It is an ideal inclusion to your collection of bags as it is replete with features. Designed with excellence, it is made from high quality fabric. This backpack is long lasting, lightweight and water repellent as well.",895,4862,4.2,Gear Triumph Backpack Navy Blue-Beige (BKPTRMP520522),https://www.amazon.in/dp/B00VWM11HQ
